movie_id,genre_id
165267,22
122735,22
176178,8
112792,8
180355,23
176838,8
5642,5
86477,1
170172,1
62710,14
149373,25
60986,5
173281,8
107579,13
137963,10
161051,0
64130,25
21387,1
84907,1
123081,11
175620,8
138850,5
134885,1
36034,8
54373,25
145435,27
183916,16
160193,8
24438,8
146802,8
351,11
139975,11
8586,5
177649,27
24436,13
15477,11
60317,25
186978,8
98721,0
146510,25
195338,8
141519,25
45706,8
104190,1
157830,12
189968,16
31832,13
155293,8
191154,8
105107,8
50620,8
104574,9
143286,28
75530,7
175515,25
147610,8
79842,8
77659,20
63930,1
175768,25
146953,13
159025,7
167426,8
85973,1
129614,5
172347,1
97444,5
171248,9
179269,1
95066,22
185902,1
133104,22
35123,1
177294,13
48718,7
55397,8
33075,1
189372,1
145835,14
87229,8
129680,1
95325,1
153448,7
37736,15
86133,7
106707,1
183580,8
109465,4
173679,14
165771,8
66078,17
8881,13
162920,22
97272,25
48360,15
89347,1
195262,1
35370,8
51328,1
180592,8
199789,7
152929,1
169401,5
28078,25
154774,13
153693,10
181286,8
77751,1
2766,28
98908,25
184869,28
118604,1
17223,7
47653,8
33992,10
67381,22
2381,25
90107,15
201591,8
58774,25
8512,23
164287,25
22891,27
58953,25
190674,16
60458,20
131167,8
197678,23
72197,1
146517,1
184911,0
73984,1
111176,8
161069,1
96215,13
156801,8
57976,13
24760,20
424,9
71972,11
123441,13
194294,8
43380,0
17920,9
154780,8
172154,8
176265,11
44478,8
7650,8
111957,8
180647,1
87419,1
187711,10
171314,8
188295,10
87401,1
60061,8
124075,26
196197,10
98606,1
92722,8
194911,26
167059,17
155188,22
190036,8
96013,27
188640,8
200941,8
9499,1
200268,8
106547,8
139771,10
86695,1
2485,8
67178,13
42286,22
13204,22
132861,22
176104,8
52846,8
112072,8
143767,25
174892,25
183475,13
89881,15
158904,1
165637,1
136843,25
121311,8
199248,8
179178,1
177573,8
93582,28
58947,1
1658,1
161185,13
81003,5
159116,5
139876,11
42451,5
10598,9
91166,1
127945,8
96687,13
142179,25
142858,28
142684,8
142285,8
60410,1
195834,8
140237,1
9372,25
198005,13
41228,15
138920,22
104180,8
162674,8
176507,8
84953,25
87992,10
65613,8
175495,1
159652,17
93035,22
144942,1
25711,25
158919,25
31624,1
83276,1
130937,1
110783,12
52842,22
162111,7
126995,27
169003,8
166349,1
143728,22
53113,9
107487,23
83543,1
191166,5
15394,25
149887,8
154107,8
122420,1
99909,22
39265,1
143044,1
155724,22
151141,8
98836,8
38694,5
72401,25
122173,13
70065,22
53169,1
187932,8
51195,1
75622,25
142536,8
29868,8
28304,1
187022,8
91038,8
44129,23
140332,22
11460,8
98411,8
150136,8
194082,8
59138,15
183640,22
173722,8
111691,1
122488,8
25345,28
179196,5
199606,8
188184,8
25355,5
158843,13
164837,8
157565,8
192686,22
194546,8
157756,1
155842,25
61487,25
140786,8
166347,25
157741,13
178750,20
43191,13
127456,25
114519,8
173033,8
166871,8
124253,1
156063,8
77779,8
121076,8
153866,8
153503,1
141500,1
153388,8
100938,13
196393,7
103403,25
165574,8
103907,22
112972,1
79994,1
28037,1
3564,7
179539,1
187817,14
44390,8
64773,1
166164,25
175173,5
128128,8
135727,8
87092,13
20698,22
156960,22
151683,8
150585,8
180666,7
141269,8
54828,1
137515,25
23823,0
103288,22
130526,7
99208,25
184769,8
114100,22
184361,8
93188,1
175016,25
191550,25
12568,12
90029,15
186386,16
102160,10
56822,5
54657,1
2427,8
24677,25
38550,1
188277,1
169323,22
77634,7
161774,13
133298,0
5845,22
11394,25
96866,13
138560,25
151489,15
167371,5
119950,8
202339,13
7362,16
119628,14
117858,22
74526,8
166027,8
38278,13
133605,1
114845,15
187402,1
77564,13
133525,1
48835,13
166945,7
131442,1
110370,10
148806,10
6947,5
57892,22
191852,8
75890,13
189727,15
37082,8
166158,1
146077,1
156507,1
152055,22
191011,16
156081,8
68104,10
46889,1
75859,0
124726,25
55259,8
167191,1
148677,8
64936,25
81104,5
164981,26
95304,8
141369,8
148160,11
201375,1
123190,26
15309,1
12147,1
54472,8
109652,25
101642,8
138752,13
7932,8
190643,1
57453,1
119223,13
6879,11
90596,1
50282,8
162682,8
111341,22
145679,15
135859,23
23835,25
92695,8
38752,8
104466,16
8040,8
88691,8
168387,8
68346,0
58361,9
90905,25
174823,8
43970,1
111883,16
10053,1
175281,8
75789,1
6315,1
157599,22
53131,8
200888,15
181964,25
143399,8
180289,16
120950,13
167648,1
114667,14
16616,1
145824,8
77061,8
6417,8
195551,8
187465,27
157753,8
55613,5
42076,1
188415,22
100559,8
110629,8
119779,22
4378,13
40614,9
88261,1
80532,22
85604,4
142910,27
75462,1
113209,27
138519,22
178864,5
158094,20
165885,8
69540,8
124901,8
42329,8
6446,8
148536,1
82290,27
179161,1
186387,16
116323,25
69570,13
5900,8
154290,22
63374,15
187878,13
94960,8
44536,26
37211,8
142683,22
145655,1
53792,13
117654,7
82855,22
70764,8
198092,25
201701,8
138192,8
131458,1
7382,8
180050,27
24059,1
23741,5
197433,10
159515,1
165460,9
119385,7
114942,11
184530,1
67281,8
160986,13
156932,1
172819,1
138698,10
194133,1
76184,7
37481,1
183541,22
122020,5
158884,8
163501,5
158073,8
32483,13
8774,13
169099,8
40468,22
149801,8
47629,8
100290,22
86488,5
1541,28
64009,1
147903,8
96095,20
193307,1
84173,25
144360,16
146312,23
31131,1
81804,22
119773,13
112380,8
36202,7
18256,1
121428,8
160990,1
154150,8
18597,1
67938,8
73347,8
144839,8
50460,13
40339,1
171556,1
96952,8
150772,8
106253,20
119018,5
172336,1
198307,1
2492,25
78876,20
156235,1
84283,1
172765,1
135960,15
137576,8
176016,8
194847,1
123967,22
169055,26
157478,1
183836,1
187826,28
188121,11
48097,28
173873,8
143128,5
107045,10
95518,13
132821,22
97140,1
117618,1
9034,7
31655,22
111389,8
194286,1
156374,20
70186,8
197857,1
24968,8
17272,8
79505,1
30945,13
180269,22
99823,1
129969,15
176495,1
27765,13
138195,8
202446,8
141749,16
143170,13
154971,8
124855,1
40182,8
185001,8
171875,1
120944,8
76658,8
96321,1
25662,8
7701,8
4703,8
109432,8
37798,20
124004,13
38917,1
69677,8
179117,25
92288,10
145013,8
194372,22
91903,5
180442,25
169633,25
158459,8
63895,1
72059,5
87705,13
73171,22
81012,5
126090,7
73571,22
73358,13
91961,5
65340,22
146895,8
171567,1
