id,long,lat
X399,-122.066006842,38.2670153158
X400,-122.041080077,38.2667433077
X401,-122.008484,38.2698715455
X402,-121.427779824,38.4850842353
X403,-122.564001643,38.0177917857
X404,-120.622413704,37.3604476667
X405,-121.280066583,38.69451375
X406,-121.38040363,36.8439726667
X407,-121.315767818,38.1332405455
X408,-122.449943917,37.6762683889
X409,-122.488651077,37.6529841154
X410,-122.467180796,37.5924349815
X411,-121.841542783,39.742623
X412,-121.820639143,39.7041901143
X413,-121.81185651,39.3410066275
X414,-121.591669602,37.9336854091
X415,-122.082671333,38.0010046667
X416,-122.054200676,37.9263220294
X417,-122.322884316,37.9167841579
X418,-121.871208556,37.4337206667
X419,-121.967035118,37.2974257647
X420,-122.042611766,36.9878716596
X421,-122.24886,38.1007172857
X422,-122.258886,37.7705763333
X423,-122.507645152,37.9819220435
X424,-121.436602357,38.5294465714
X425,-121.494691389,38.5070725556
X426,-121.413308,38.5937463529
X427,-121.460158214,38.6497177143
X428,-121.52021248,38.67386408
X429,-121.397382288,38.6654500169
X430,-121.236523067,38.6498577333
X431,-122.256090045,37.8730639091
X432,-121.277796158,37.7843125789
X433,-122.309338437,37.5582413125
X434,-122.423317333,37.78745275
X435,-122.075195667,37.5782748333
X436,-121.914960647,37.2432661765
X437,-122.009966733,37.3018351333
X438,-122.022996478,37.3556181304
X439,-122.014241588,38.2846057647
X440,-122.328443525,38.311569025
X441,-121.440299714,38.4642166429
X442,-123.800168136,39.4473636949
X443,-122.440630882,37.7647842941
X444,-121.274085033,38.5752915333
X445,-122.4387057,37.778322
X446,-122.228825583,37.808436875
X447,-122.1420217,37.69734705
X448,-122.018252526,37.5703020526
X449,-121.4792245,38.5075435
X450,-121.106231455,38.6722194091
X451,-121.2999248,38.5875831333
X452,-122.420744091,37.7983609091
X453,-120.660040067,39.0654007936
X454,-121.905072556,37.4387693333
X455,-121.986215833,37.3271595556
X456,-122.280389364,37.8390579091
X457,-122.273536412,37.8206488824
X458,-122.270937333,37.8000904444
X459,-122.241042643,37.7913053571
X460,-122.211247812,37.780730625
X461,-122.183491312,37.751060875
X462,-122.271804067,37.8884038667
X463,-122.268934636,37.8680769091
X464,-122.275273267,37.8500385333
X465,-122.063362625,37.6996021667
X466,-122.155249955,37.7234063636
X467,-122.114103308,37.6988715385
X468,-122.126273,37.6710564706
X469,-122.09381175,37.6358455833
X470,-122.075976471,37.5878363529
X471,-122.012881769,37.589721
X472,-122.0231505,37.557816
X473,-121.950883636,37.5457849091
X474,-121.508224702,39.3972604211
X475,-122.063474368,37.9056391053
X476,-120.471460638,38.1343009186
X477,-122.167486724,37.879806069
X478,-122.264007731,38.0001070769
X479,-122.33398312,37.96656392
X480,-122.341577182,37.9393336364
X481,-122.302378333,37.9097295833
X482,-121.094163222,38.6988055
X483,-120.242139947,38.3862172981
X484,-122.356561198,39.1005964756
X485,-121.711429824,37.9404724706
X486,-121.733707381,37.9527378095
X487,-121.900056385,38.0132540769
X488,-122.056072519,37.9386215556
X489,-122.001946333,37.963411
X490,-122.493050301,38.9716775316
X491,-122.890343761,39.2143011209
X492,-122.577519687,39.0827556316
X493,-122.754221043,38.8574533759
X494,-122.620294438,38.786264346
X495,-122.428483,37.619641375
X496,-122.2810778,38.31704405
X497,-121.300321267,38.7567422667
X498,-120.378750258,36.8912546463
X499,-122.559816951,37.9095114426
X500,-123.114569229,39.3912704133
X501,-120.639466982,37.1739609822
X502,-121.044579612,37.0295501051
X503,-121.650558167,36.6650658333
X504,-120.879219376,39.2406907376
X505,-121.502171625,38.582484375
X506,-121.493901625,38.5566491875
X507,-121.504653235,38.5283171765
X508,-121.451465941,38.5302776471
X509,-121.446527778,38.5060276111
X510,-121.385624111,38.4896781111
X511,-121.394226929,38.5802747143
X512,-121.355150083,38.6015205833
X513,-121.457397842,38.6337274737
X514,-121.447956143,38.6879626429
X515,-121.300635533,38.657124
X516,-121.297699364,38.7105205455
X517,-121.315905688,38.695241875
X518,-121.236873545,38.671729
X519,-121.383879375,38.478960125
X520,-121.349004417,38.4593709167
X521,-121.318055667,38.2614391111
X522,-121.441487474,38.3872940526
X523,-121.291960786,37.963945
X524,-121.293590188,37.975145875
X525,-121.220366647,37.9625476471
X526,-121.340972909,37.9955990909
X527,-121.303469533,38.0363582667
X528,-122.343335,37.58499985
X529,-122.2991147,37.532927
X530,-122.1952371,37.474809
X531,-122.182189933,37.4481576
X532,-122.411072571,37.8065286429
X533,-122.407118643,37.7996225714
X534,-122.451807214,37.7887015
X535,-122.456489667,37.7784924444
X536,-122.422579444,37.7830964444
X537,-122.429736556,37.7760213333
X538,-121.296250442,38.1936118052
X539,-121.281423091,37.820073
X540,-121.440446882,37.7577289412
X541,-122.478807652,37.6821598696
X542,-122.451722714,37.6395657143
X543,-122.449680636,37.6337825
X544,-121.914848538,37.3323260769
X545,-121.88936725,37.3417743333
X546,-121.909870533,37.3090240667
X547,-121.886627167,37.2566613889
X548,-121.849466083,37.3334824167
X549,-121.849808938,37.2996994375
X550,-121.831311667,37.3399743333
X551,-121.844989357,37.3499736429
X552,-121.8413663,37.3653341
X553,-121.859597947,37.4093684737
X554,-122.0044438,37.40196035
X555,-121.948351158,37.3846041053
X556,-121.974166182,37.3464
X557,-122.000031094,37.2821855313
X558,-122.045236214,37.3438685714
X559,-122.040824273,37.375711
X560,-122.0570026,37.3790469
X561,-122.074276786,37.3861392857
X562,-122.111078385,37.4148799231
X563,-121.877191091,37.2302238182
X564,-121.823628083,37.2551345
X565,-121.771831687,37.2299214375
X566,-121.854839647,37.2431039412
X567,-121.643684375,37.13480375
X568,-121.583869913,37.0256798696
X569,-121.577955625,37.0055035
X570,-122.208503833,38.1140360556
X571,-122.236921143,38.0962737143
X572,-122.014963556,38.2772507778
X573,-122.042261455,38.2540409091
X574,-120.98523835,37.59970215
X575,-120.9593545,37.5861072
X576,-119.74503753,37.907468755
X577,-122.809867169,38.7078933636
X578,-120.950643357,37.7380963571
X579,-121.038825412,37.6994491765
X580,-120.984203643,37.6717704286
X581,-121.004148947,37.6575297895
X582,-121.286208785,37.309441005
X583,-120.869410438,37.533213875
X584,-121.627395538,39.1339179231
X585,-121.780075571,38.5571644286
X586,-121.745422647,38.5495483529
X587,-121.765109636,38.6839811818
