id,coor
832,[-121.8523936    37.26174533]
834,[-122.54534532   38.21878464]
837,[-121.00371654   37.62157469]
840,[-122.31316247   38.30549087]
841,[-122.26216516   38.17290826]
842,[-121.47597958   38.56825192]
843,[-122.26048345   37.86668164]
846,[-121.66435007   36.67051029]
847,[-121.65689616   36.39830519]
849,[-122.28960709   38.28683082]
850,[-121.27450069   38.72329669]
852,[-121.46341164   38.503789  ]
854,[-121.44069986   38.64292581]
855,[-121.347604     38.65761974]
858,[-122.44282744   37.71948722]
859,[-122.48054275   37.74688992]
860,[-122.48398233   37.77465978]
862,[-121.43206636   37.73345445]
863,[-122.28154418   37.81648882]
864,[-122.1104745   37.661479 ]
865,[-122.0793837    37.87323841]
866,[-122.41483527   37.79627882]
867,[-122.43508543   37.78508543]
868,[-122.43826818   37.75333945]
869,[-121.95791529   37.96072271]
870,[-122.74332618   38.14273687]
875,[-121.82359848   37.33198257]
876,[-121.83590506   37.27214118]
877,[-122.27007356   38.12198887]
880,[-121.4713148    38.54887727]
881,[-122.11882757   37.42016807]
883,[-122.22199781   38.11823569]
884,[-121.84075636   36.611216  ]
885,[-122.257797     37.84751913]
886,[-122.26390105   37.83067705]
887,[-122.28966385   37.88129   ]
888,[-122.10230892   37.66325692]
889,[-121.96177123   37.51707546]
891,[-121.89520025   38.02142658]
892,[-121.950806     37.75506235]
893,[-122.34669985   37.97505545]
896,[-121.57601607   36.67851841]
897,[-121.87725722   36.58257311]
898,[-121.47067343   38.519677  ]
904,[-122.02221733   37.39115183]
905,[-122.41417629   37.79057514]
906,[-122.43182507   37.79735093]
907,[-122.44748018   37.77854424]
908,[-122.3956316   37.7627099]
909,[-122.49948765   37.75706705]
910,[-122.50720728   37.77704333]
911,[-121.28505771   37.9534841 ]
915,[-122.4349376   37.6663812]
916,[-121.92186507   37.30324329]
917,[-121.87836377   37.29862069]
918,[-121.86353112   37.41729275]
919,[-121.98230478   37.36062572]
920,[-122.06004004   37.39095036]
921,[-121.81302636   37.24033218]
922,[-122.60884115   38.24451362]
923,[-121.03332492   37.65676885]
924,[-120.9809577    37.62057152]
926,[-121.49266845   38.56514064]
927,[-122.10920729   37.42621324]
929,[-121.85526927   37.40277747]
930,[-121.96416213   37.31974088]
931,[-122.0445754    37.32974727]
935,[-122.23407369   37.45642992]
936,[-121.90627926   37.27782409]
937,[-122.29736146   37.89442662]
938,[-122.07471056   37.16113621]
939,[-122.23342762   37.75927076]
940,[-122.10238025   37.647451  ]
941,[-122.85668286   38.62039226]
945,[-122.70732418   38.34191124]
946,[-122.66949316   38.43518196]
948,[-121.7629321    36.65938162]
949,[-122.23272495   37.81210035]
950,[-122.59236961   37.92360066]
951,[-121.75138464   38.66940073]
953,[-122.00503204   37.94310623]
954,[-122.33824724   37.95670312]
957,[-122.04177766   37.60177641]
958,[-122.04713408   37.56521258]
959,[-121.9440868    37.70864947]
963,[-122.41280456   37.78869011]
964,[-122.44185067   37.79771525]
965,[-122.39613608   37.73247192]
967,[-122.4917394    37.76044233]
968,[-122.4841973   37.7786262]
969,[-121.26021672   37.95240444]
973,[-121.44480357   37.74407257]
974,[-122.25185486   37.5581575 ]
975,[-121.87355928   37.28584591]
976,[-122.14632414   37.7154875 ]
977,[-121.7886484   37.3023512]
980,[-121.91882914   37.71153895]
981,[-121.88264348   37.65705848]
982,[-121.86626865   37.6597967 ]
983,[-121.8651156    37.69754265]
984,[-121.78923409   37.64975064]
985,[-121.81450254   37.68935989]
986,[-121.80030053   37.66635518]
1011,[-121.67068243   37.99410486]
1012,[-121.58391113   37.90820323]
1013,[-121.80030194   38.0064765 ]
1014,[-121.83615142   37.99000475]
1015,[-121.87096923   38.0385321 ]
1016,[-121.92699828   38.01115746]
1017,[-121.94716775   38.03638519]
1018,[-122.12751796   38.01702371]
1019,[-122.10420467   38.02189269]
1020,[-122.11239667   37.97128684]
1021,[-122.08989175   37.93430569]
1022,[-121.98687658   37.95238481]
1023,[-122.03428122   37.96747594]
1024,[-122.04376329   37.948438  ]
1025,[-122.08743626   37.91242034]
1026,[-122.04476139   37.89409235]
1027,[-121.92724064   37.74027109]
1028,[-121.97226347   37.8623433 ]
1029,[-121.9864795    37.82160986]
1030,[-122.25561584   37.84097516]
1031,[-122.1324763    37.90534586]
1032,[-122.13798846   37.87768752]
1033,[-122.0687803    37.85642243]
1034,[-122.1062145    37.82398577]
1035,[-122.15737519   37.82828733]
1036,[-122.18038356   37.85683306]
1037,[-121.93039118   37.95167591]
1038,[-122.22972427   38.02102176]
1039,[-121.84301689   37.93752613]
1040,[-121.80207362   37.94518058]
1041,[-121.79466677   37.97690004]
1042,[-121.90486259   37.80530824]
1043,[-121.8837318    37.77034773]
1044,[-121.97535422   37.99566668]
1045,[-122.25768985   37.81533046]
1046,[-122.25193907   37.8096424 ]
1047,[-122.31653948   37.92312356]
1048,[-122.23043795   37.86397472]
1049,[-122.25049376   37.84753165]
1050,[-122.25264426   37.98368477]
1051,[-122.3391085    37.94859954]
1052,[-122.35956116   37.93344196]
1053,[-122.24346424   37.80466076]
1054,[-122.28488664   37.90716192]
1056,[-122.25853008   37.80488854]
1057,[-122.23874713   37.84509987]
1058,[-122.2009829    37.83453693]
1059,[-122.2434115    37.79908417]
1060,[-122.2293703   37.7750141]
1061,[-122.27371638   38.02449714]
1062,[-122.2167501   37.787912 ]
1063,[-122.212099     37.76230158]
1064,[-122.20384256   37.77695133]
1065,[-122.18432277   37.80428341]
1066,[-122.20718312   37.73012153]
1067,[-122.17218437   37.73772432]
1068,[-122.28966625   37.80937742]
1069,[-122.309354    37.8930623]
1070,[-122.29530083   37.88735633]
1071,[-122.27062      37.88217358]
1072,[-122.2874379   37.8729444]
1073,[-122.24997927   37.86811553]
1074,[-122.2935441   37.8645435]
1079,[-122.24548393   37.855399  ]
1080,[-122.30029972   37.8391455 ]
1081,[-122.28969686   37.84364071]
1082,[-122.24853487   37.77575842]
1083,[-122.23925311   37.75482942]
1084,[-122.27296074   37.76698879]
1085,[-122.02833928   37.72122786]
1086,[-122.07818039   37.69326283]
1087,[-122.14683436   37.73685777]
1088,[-122.15689919   37.73292644]
1089,[-122.1682615    37.71862229]
1090,[-122.17416794   37.72377461]
1093,[-122.12388004   37.72117893]
1094,[-122.13313863   37.70356354]
1095,[-122.13831785   37.70850815]
1096,[-122.15568388   37.68428318]
1097,[-122.11316823   37.68778152]
1098,[-122.12478552   37.69882548]
1099,[-121.97522753   37.64455812]
1100,[-122.11266288   37.6761546 ]
1101,[-122.14736937   37.67211567]
1102,[-122.06834522   37.65951052]
1103,[-122.0809098    37.63595813]
1104,[-122.02949167   37.62105377]
1105,[-121.98690756   37.62090467]
1106,[-122.07402885   37.60584545]
1107,[-122.04505414   37.5430965 ]
1111,[-122.54215751   38.13594806]
1113,[-122.64492104   38.11629038]
1114,[-122.494047     38.04868367]
1115,[-122.52091469   38.0277154 ]
1116,[-122.67223883   38.01553252]
1117,[-122.56542744   37.97471915]
1118,[-122.55000263   37.94786882]
1119,[-122.53577039   37.93646878]
1120,[-122.50163954   37.93035861]
1121,[-122.54826376   37.89476133]
1128,[-121.492301     38.47580284]
1132,[-121.39053105   38.55054105]
1133,[-121.47749664   38.58945541]
1135,[-123.14252987   39.13055388]
1144,[-121.61077227   36.684691  ]
1146,[-121.49062564   38.57628079]
1148,[-121.46404793   38.5537182 ]
